,open,high,low,close,volume,close_settlement,close_quote,funding_rate,avg_vader_compound,article_count,high_close_ratio,low_close_ratio,open_close_ratio,volume_avg_ratio,returns_1d,returns_3d,returns_7d,log_returns,ma_5,price_ma_5_ratio,ma_10,price_ma_10_ratio,ma_20,price_ma_20_ratio,ema_12,ema_26,macd,macd_signal,macd_normalized,macd_signal_normalized,rsi,rsi_normalized,bb_middle,bb_upper,bb_lower,bb_position,bb_width,volatility_10,volatility_20,volume_sma_20,volume_change,vader_ma_3,vader_ma_7,article_count_norm,funding_rate_ma,momentum_5,momentum_10,day_of_week,day_sin,day_cos,next_close,target_return,target_direction
2017-08-17,4261.48,4485.39,4200.74,4285.08,795.150377,,,,,,1.0467459183959227,0.9803177536942134,0.9944925182260307,,,,,,,,,,,,4285.08,4285.08,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3,0.43388373911755823,-0.900968867902419,4108.37,-0.041238436621953395,0
2017-08-18,4285.08,4371.52,3938.77,4108.37,1199.888264,,,,,,1.0640521666743747,0.9587184211743344,1.0430121921832747,,-0.04123843662195337,,,-0.04211286548365428,,,,,,,4189.362083333333,4193.32673076923,-3.96464743589695,-2.2025819088316387,-0.0009650171323169408,-0.0005361206290649671,,,,,,,,,,,0.5090079797572677,,,,,,,4,-0.433883739117558,-0.9009688679024191,4139.98,0.007694048978061779,1
2017-08-19,4108.37,4184.69,3850.0,4139.98,381.309763,,,,,,1.010799569080044,0.9299561833632047,0.9923646974139972,,0.007694048978061696,,,0.007664600737572485,,,,,,,4170.088244803695,4174.159768358797,-4.071523555102431,-2.9685415999262252,-0.0009834645469549202,-0.0007170424977720244,,,,,,,,,,,-0.6822122738921963,,,,,,,5,-0.9749279121818236,-0.2225209339563146,4086.29,-0.012968661684355868,0
2017-08-20,4139.98,4211.08,4032.62,4086.29,467.08302199999997,,,,,,1.0305387038120153,0.9868658367369912,1.0131390576782362,,-0.012968661684355842,-0.04639119923081947,,-0.013053488973030332,,,,,,,4143.636413793103,4149.595220997614,-5.9588072045107765,-3.9815042031052736,-0.0014582438359760997,-0.000974356740002612,,,,,,,,,,,0.2249437788457569,,,,,,,6,-0.7818314824680299,0.6234898018587334,4016.0,-0.017201422317065104,0
2017-08-21,4086.29,4119.62,3911.79,4016.0,691.74306,,,,,,1.0258017928286853,0.9740512948207172,1.0175024900398406,,-0.017201422317065118,-0.022483369316784962,,-0.017351085545221176,4127.144,0.9730699970730364,,,,,4108.95805633508,4118.613938221563,-9.655881886483257,-5.669503275980685,-0.0024043530593832814,-0.0014117289033816448,,,,,,,,,,,0.4809852369243257,,,,,,,0,0.0,1.0,4040.0,0.00597609561752988,1
2017-08-22,4016.0,4104.82,3400.0,4040.0,966.684858,,,,,,1.0160445544554455,0.8415841584158416,0.994059405940594,,0.005976095617529875,-0.02414987512016953,,0.005958309583630625,4078.1279999999997,0.9906506122416953,,,,,4092.197620775792,4102.868193398062,-10.670572622270356,-7.025071122901946,-0.002641230847096623,-0.0017388789908173133,,,,,,,,,,,0.3974623149815193,,,,,-0.057193798015439556,,1,0.7818314824680298,0.6234898018587336,4114.01,0.018319306930693124,1
2017-08-23,4040.0,4265.8,4013.89,4114.01,1001.136565,,,,,,1.0368958753138664,0.9756636469041153,0.9820102527704113,,0.018319306930693058,0.006783659505321449,,0.018153529979108365,4079.256,1.0085196908455856,,,,,4097.064976883983,4104.849705944623,-7.78472906063962,-7.217320281113688,-0.0018922484536108613,-0.0017543273548468981,,,,,,,,,,,0.03563902621923565,,,,,0.0013728072203817998,,2,0.9749279121818236,-0.22252093395631434,4316.01,0.04910051263852056,1
2017-08-24,4114.01,4371.68,4085.01,4316.01,787.418753,,,,,,1.0128984872602242,0.9464783445821487,0.9531975134441301,,0.049100512638520666,0.0747036852589642,0.007218068274104539,0.04793314240118538,4114.462,1.0489852622286948,,,,,4142.755428585415,4138.872861515498,3.8825670699170587,-4.549808617233099,0.0008995732331289915,-0.0010541700823754113,,,,,,,,,,,-0.21347518357797668,,,,,0.04251952907985079,,3,0.43388373911755823,-0.900968867902419,4280.68,-0.008185801237717226,0
2017-08-25,4316.01,4453.91,4247.48,4280.68,573.61274,,,,,,1.0404678695908125,0.9922442228804768,1.0082533616154443,,-0.008185801237717172,0.05957425742574274,0.041941207826948546,-0.008219488874826928,4153.34,1.030659661862501,,,,,4170.041817956918,4159.891792522083,10.150025434834788,-1.1540740249526316,0.002371124549098458,-0.00026960063002902146,,,,,,,,,,,-0.2715277127772444,,,,,0.047571268803731526,,4,-0.433883739117558,-0.9009688679024191,4337.44,0.013259575581449514,1
2017-08-26,4280.68,4367.0,4212.41,4337.44,228.108068,,,,,,1.0068150798627762,0.9711742410269653,0.9869139400199197,,0.013259575581449523,0.05430954227140905,0.04769588258880475,0.013172436845751336,4217.628,1.0284074365970635,4172.386,1.039558660200662,,,4201.763708395716,4184.391717132746,17.37199126297037,2.9968400361561915,0.004005125434120211,0.0006909236868189974,,,,,,,,,,,-0.6023308896521371,,,,,0.08003984063745007,,5,-0.9749279121818236,-0.2225209339563146,4310.01,-0.006324006787413632,0
