,symbol,funding_time,funding_rate
112,BTCUSDT,2019-10-17 16:00:00,0.0001
113,BTCUSDT,2019-10-18 00:00:00,0.0001
114,BTCUSDT,2019-10-18 08:00:00,0.0001
115,BTCUSDT,2019-10-18 16:00:00,0.0001
116,BTCUSDT,2019-10-19 00:00:00,0.0001
117,BTCUSDT,2019-10-19 08:00:00,0.0001
118,BTCUSDT,2019-10-19 16:00:00,0.0001
119,BTCUSDT,2019-10-20 00:00:00,0.0001
120,BTCUSDT,2019-10-20 08:00:00,0.0001
121,BTCUSDT,2019-10-20 16:00:00,0.0001
122,BTCUSDT,2019-10-21 00:00:00,0.0001
123,BTCUSDT,2019-10-21 08:00:00,0.0001
124,BTCUSDT,2019-10-21 16:00:00,0.0001
125,BTCUSDT,2019-10-22 00:00:00,0.0001
126,BTCUSDT,2019-10-22 08:00:00,0.0001
127,BTCUSDT,2019-10-22 16:00:00,0.0001
128,BTCUSDT,2019-10-23 00:00:00,0.0001
129,BTCUSDT,2019-10-23 08:00:00,0.0001
130,BTCUSDT,2019-10-23 16:00:00,0.0001
131,BTCUSDT,2019-10-24 00:00:00,0.0001
132,BTCUSDT,2019-10-24 08:00:00,0.0001
133,BTCUSDT,2019-10-24 16:00:00,-4.395e-05
134,BTCUSDT,2019-10-25 00:00:00,0.0001
135,BTCUSDT,2019-10-25 08:00:00,0.0001
136,BTCUSDT,2019-10-25 16:00:00,-0.00014709
137,BTCUSDT,2019-10-26 00:00:00,0.0001
138,BTCUSDT,2019-10-26 08:00:00,0.00013709
139,BTCUSDT,2019-10-26 16:00:00,0.00030874
140,BTCUSDT,2019-10-27 00:00:00,0.0001
141,BTCUSDT,2019-10-27 08:00:00,0.00018561
142,BTCUSDT,2019-10-27 16:00:00,0.0001
143,BTCUSDT,2019-10-28 00:00:00,0.00012485
144,BTCUSDT,2019-10-28 08:00:00,0.00078363
145,BTCUSDT,2019-10-28 16:00:00,0.00073711
146,BTCUSDT,2019-10-29 00:00:00,0.00053797
147,BTCUSDT,2019-10-29 08:00:00,0.00016366
148,BTCUSDT,2019-10-29 16:00:00,0.00046967
149,BTCUSDT,2019-10-30 00:00:00,0.00025294
150,BTCUSDT,2019-10-30 08:00:00,0.0002903
