datetime,open,high,low,close,volume
2013-10-06,122.0,122.0,122.0,122.0,0.1
2013-10-07,123.61,123.61,123.61,123.61,0.1
2013-10-08,123.91,124.19,123.9,124.18,3.9916
2013-10-09,124.01687,124.01687,123.84,123.84,2.823
2013-10-10,125.85,125.86,125.85,125.86,2.0
2013-10-11,,,,,0.0
2013-10-12,127.5,127.5,127.0,127.0,4.0
2013-10-13,131.8408,131.8408,131.8408,131.8408,0.1
2013-10-14,134.8,135.59,133.36726,135.59,12.00575337
2013-10-15,135.3,153.0,133.87975,133.87975,4.3
2013-10-16,143.0,146.14,137.63758,138.09,20.229
2013-10-17,137.62448,144.73,137.52,143.79522,5.777
2013-10-18,146.2399,153.80147,146.2399,149.04856,23.551
2013-10-19,157.74,171.25,157.64,165.56,72.545
2013-10-20,166.52626,166.52626,162.981,163.58136,4.8484180299999995
2013-10-21,165.0,176.65277,165.0,176.32429,18.302690000000002
2013-10-22,181.97,194.2,150.0,150.0,7.37587686
2013-10-23,191.62198,203.45,185.90287,203.45,39.22
2013-10-24,203.67412,207.30246,169.9201,193.0999,83.72097523
2013-10-25,172.27,186.8,171.97,186.0499,67.2
2013-10-26,185.8,185.8,179.8656,184.58,11.0
2013-10-27,182.3999,191.3,179.23624,191.0,69.90739
2013-10-28,,,,,0.0
2013-10-29,195.0,195.0,195.0,195.0,0.62564102
2013-10-30,195.0,203.94,195.0,203.77,9.72274898
2013-10-31,199.0,202.27,199.0,202.1,2.2600000000000002
2013-11-01,203.59999,207.96822,202.9,202.9,33.98053314
2013-11-02,201.04,204.24,201.04,203.51,7.05555555
2013-11-03,204.662,209.748,203.47,209.748,9.58525942
2013-11-04,209.748,229.97,209.4001,226.9001,71.17542108
2013-11-05,227.39493,250.14053,222.05236,244.95532,24.4956051
2013-11-06,245.69019,269.42566,245.69019,263.73672,49.46076368
2013-11-07,262.8628,348.4093,262.8628,289.62884,32.79999637
2013-11-08,295.51602,330.64785,295.51602,330.64785,6.22530641
2013-11-09,340.0,350.0,312.01,338.68,14.72330453
2013-11-10,321.9202,400.0,289.18978,317.0,45.8085494
2013-11-11,350.5738,362.5306,329.72864,340.725,17.97582053
2013-11-12,360.0,500.0,346.55506,355.0,50.9990239
2013-11-13,365.0,406.0,365.0,398.0,26.13386347
2013-11-14,406.0,425.84138,404.8,425.62096,15.096314099999999
2013-11-15,421.62096,435.0,387.91236,410.0,100.37766183
2013-11-16,414.8989,444.50734,414.8989,438.0,23.29680432
2013-11-17,444.45937,491.50107,430.0,491.50107,16.82612919
2013-11-18,496.36498,700.0,496.36498,685.20083,40.997713759999996
2013-11-19,700.0,800.0,484.0,587.52083,54.79226149
2013-11-20,581.7009,636.94821,450.0,591.81,55.77094125
2013-11-21,600.0,720.0,583.11045,670.06042,72.06500951
2013-11-22,672.31667,810.0,642.70057,796.56582,18.09444637
2013-11-23,790.0,904.0765,768.76234,830.75754,43.07371045
2013-11-24,838.97872,838.97872,760.38,808.33476,13.31504524
2013-11-25,805.0,818.36641,730.0,801.59886,10.853011519999999
2013-11-26,801.59886,900.0,768.58034,893.87025,13.74662167
2013-11-27,893.9,1081.09181,890.0,994.95,46.41314502
2013-11-28,994.95,1088.41486,935.0806,1000.32893,32.93251808
2013-11-29,1012.39302,1198.8009,1012.39302,1165.425,34.82728925
2013-11-30,1155.62219,1189.10145,1094.38283,1114.24001,22.76152285
2013-12-01,1112.01598,1130.0,770.0,953.72943,52.50557639
2013-12-02,952.89757,1059.0,946.14514,1022.9544,36.88923603
2013-12-03,1031.15439,1076.52087,995.4975,1063.46318,23.27089023
2013-12-04,1042.93643,1120.0,981.75885,1079.93122,39.35283498
2013-12-05,1088.62278,1110.0,855.7,1032.05233,64.63659979
2013-12-06,1040.35854,1065.22702,838.51515,864.78197,62.70884907
2013-12-07,866.89118,950.0,600.96141,699.42201,122.53190771
2013-12-08,670.004,801.45651,670.004,795.61257,46.16979453
2013-12-09,801.53386,914.29786,782.43239,899.72762,61.21825179
2013-12-10,903.17127,975.11,899.4394,959.11111,69.31681796
2013-12-11,954.64274,979.23,820.0,883.78144,42.04402339
2013-12-12,883.78144,919.07787,857.37669,873.0,7.80763188
2013-12-13,881.4786,916.59561,853.07,878.79707,26.091024009999998
2013-12-14,885.34561,885.34561,850.0,862.17448,12.19367696
2013-12-15,870.6966,885.0,820.0,863.71354,35.68524806
2013-12-16,863.70354,884.0,662.6585,709.93373,66.58353692
2013-12-17,715.659,758.84502,674.73714,702.0,60.74600195
2013-12-18,698.61378,698.61378,380.0,528.0,211.20742328
2013-12-19,533.3138,700.0,517.62147,699.81249,39.80196826
2013-12-20,699.80249,718.21618,614.51908,656.38123,47.98477468
2013-12-21,656.24474,700.0,605.0,621.45299,11.70379853
2013-12-22,614.99785,681.38026,605.0,641.0361,54.24804243
2013-12-23,633.71842,680.0,633.71842,655.22662,27.57428664
2013-12-24,666.03821,683.7417,642.0,659.79308,10.9802126
2013-12-25,659.79308,684.51009,642.0,677.90366,10.88939226
2013-12-26,684.53009,771.0,676.0,752.33596,68.93004264
2013-12-27,757.65272,769.005,714.14721,731.86466,33.27565259
2013-12-28,734.43518,745.2,715.52601,719.0,7.628956570000001
2013-12-29,739.98198,744.31657,715.0,733.0451,6.19965595
2013-12-30,742.67124,751.0,731.85612,749.0,8.82861977
2013-12-31,749.0,750.0,730.0,739.73114,8.37272266
2014-01-01,737.15115,759.1104,737.15115,753.99,10.12692303
2014-01-02,750.11583,817.56149,750.0,790.9822,19.81338285
2014-01-03,784.68606,819.9,771.17795,808.51778,75.69532024
2014-01-04,808.42694,840.0,783.02,827.56509,33.12655577
2014-01-05,828.69,980.0,827.4135,904.75,54.87914033
2014-01-06,908.24999,1019.0,886.43973,919.11176,75.0463876
2014-01-07,916.81972,945.0,810.0,810.0,49.40815708
2014-01-08,810.0,899.84281,788.0,824.98287,19.03275555
2014-01-09,825.56345,870.0,807.42084,841.86934,8.1583345
2014-01-10,839.99,857.34056,817.0,857.33056,8.02451046
2014-01-11,860.8425,918.05471,857.16554,899.84105,18.74828487
2014-01-12,899.96114,900.93989,833.00001,860.0,25.42943314
2014-01-13,847.32152,859.99999,815.0,835.0,25.869126610000002
2014-01-14,835.0,877.293,805.0,831.0,31.66288131
2014-01-15,831.0,864.0,828.0,850.00364,6.7075645900000005
2014-01-16,853.0,865.0,824.0,826.97077,28.60191371
2014-01-17,824.1264,835.06427,788.0,804.0,26.35803928
2014-01-18,812.90538,844.14159,807.74074,819.51,18.76832727
2014-01-19,819.51,848.9,819.51,835.0,11.93959203
2014-01-20,844.0,855.0,830.1,843.76589,4.44675857
2014-01-21,840.0,845.98999,820.1,829.01,6.89537424
2014-01-22,821.0,834.53144,821.0,830.88999,1.71261648
2014-01-23,822.4,830.88899,821.0,830.88897,11.58125085
2014-01-24,830.88897,835.48427,783.0,803.01935,25.00906729
2014-01-25,803.01936,830.0,795.07478,812.02,9.92963832
2014-01-26,818.0,840.0,813.0,828.78819,6.56973636
2014-01-27,826.70102,840.0,780.0,780.0,35.69920751
2014-01-28,780.0,830.0,775.0,815.99,15.75364425
