symbol,longAccount,longShortRatio,shortAccount,timestamp,ts,datetime
BTCUSDT,0.3846,0.6250,0.6154,1746093300000,1746093480232,2025-05-01 13:58:00
BTCUSDT,0.3825,0.6194,0.6175,1746093600000,1746093781342,2025-05-01 14:03:01
BTCUSDT,0.3823,0.6189,0.6177,1746093900000,1746094081791,2025-05-01 14:08:01
BTCUSDT,0.3819,0.6179,0.6181,1746094200000,1746094382430,2025-05-01 14:13:02
BTCUSDT,0.3706,0.5888,0.6294,1746186300000,1746186723744,2025-05-02 15:52:03
