symbol,fundingTime,fundingRate,markPrice
BTCUSDT,2019-10-27 16:00:00.000,0.00010000,
BTCUSDT,2019-10-28 00:00:00.000,0.00012485,
BTCUSDT,2019-10-28 08:00:00.000,0.00078363,
BTCUSDT,2019-10-28 16:00:00.000,0.00073711,
BTCUSDT,2019-10-29 00:00:00.000,0.00053797,
BTCUSDT,2019-10-29 08:00:00.000,0.00016366,
BTCUSDT,2019-10-29 16:00:00.000,0.00046967,
BTCUSDT,2019-10-30 00:00:00.000,0.00025294,
BTCUSDT,2019-10-30 08:00:00.000,0.00029030,
BTCUSDT,2019-10-30 16:00:00.000,0.00052312,
BTCUSDT,2019-10-31 00:00:00.000,0.00013170,
BTCUSDT,2019-10-31 08:00:00.000,0.00038598,
BTCUSDT,2019-10-31 16:00:00.000,0.00041061,
BTCUSDT,2019-11-01 00:00:00.000,0.00015873,
BTCUSDT,2019-11-01 08:00:00.000,0.00048728,
BTCUSDT,2019-11-01 16:00:00.000,0.00010000,
BTCUSDT,2019-11-02 00:00:00.000,0.00010000,
BTCUSDT,2019-11-02 08:00:00.001,0.00010000,
BTCUSDT,2019-11-02 16:00:00.000,0.00010000,
BTCUSDT,2019-11-03 00:00:00.000,0.00010000,
BTCUSDT,2019-11-03 08:00:00.000,0.00010000,
BTCUSDT,2019-11-03 16:00:00.000,0.00010000,
BTCUSDT,2019-11-04 00:00:00.000,0.00010000,
BTCUSDT,2019-11-04 08:00:00.000,0.00010072,
BTCUSDT,2019-11-04 16:00:00.000,0.00010000,
BTCUSDT,2019-11-05 00:00:00.000,0.00010000,
BTCUSDT,2019-11-05 08:00:00.000,0.00010000,
BTCUSDT,2019-11-05 16:00:00.000,0.00010000,
BTCUSDT,2019-11-06 00:00:00.000,0.00010000,
BTCUSDT,2019-11-06 08:00:00.000,0.00010000,
BTCUSDT,2019-11-06 16:00:00.000,0.00013877,
BTCUSDT,2019-11-07 00:00:00.000,0.00027025,
BTCUSDT,2019-11-07 08:00:00.000,0.00018004,
BTCUSDT,2019-11-07 16:00:00.000,0.00019530,
BTCUSDT,2019-11-08 00:00:00.000,0.00012500,
BTCUSDT,2019-11-08 08:00:00.000,0.00010000,
BTCUSDT,2019-11-08 16:00:00.000,0.00010000,
BTCUSDT,2019-11-09 00:00:00.000,0.00010000,
BTCUSDT,2019-11-09 08:00:00.000,0.00010000,
BTCUSDT,2019-11-09 16:00:00.000,0.00010000,
BTCUSDT,2019-11-10 00:00:00.000,0.00010000,
BTCUSDT,2019-11-10 08:00:00.000,0.00010000,
BTCUSDT,2019-11-10 16:00:00.000,0.00010000,
BTCUSDT,2019-11-11 00:00:00.000,0.00010000,
BTCUSDT,2019-11-11 08:00:00.000,0.00010000,
BTCUSDT,2019-11-11 16:00:00.000,0.00010000,
BTCUSDT,2019-11-12 00:00:00.000,0.00010000,
BTCUSDT,2019-11-12 08:00:00.000,0.00010000,
BTCUSDT,2019-11-12 16:00:00.000,0.00010000,
BTCUSDT,2019-11-13 00:00:00.000,-0.00022089,
BTCUSDT,2019-11-13 08:00:00.000,0.00010000,
BTCUSDT,2019-11-13 16:00:00.000,0.00010000,
BTCUSDT,2019-11-14 00:00:00.000,0.00010000,
BTCUSDT,2019-11-14 08:00:00.000,0.00010000,
BTCUSDT,2019-11-14 16:00:00.000,0.00010000,
BTCUSDT,2019-11-15 00:00:00.000,0.00010000,
BTCUSDT,2019-11-15 08:00:00.000,0.00010000,
BTCUSDT,2019-11-15 16:00:00.000,0.00010000,
BTCUSDT,2019-11-16 00:00:00.001,0.00010000,
BTCUSDT,2019-11-16 08:00:00.000,0.00010000,
BTCUSDT,2019-11-16 16:00:00.000,0.00010000,
BTCUSDT,2019-11-17 00:00:00.000,0.00010000,
BTCUSDT,2019-11-17 08:00:00.001,0.00010000,
BTCUSDT,2019-11-17 16:00:00.000,0.00010000,
BTCUSDT,2019-11-18 00:00:00.000,0.00010000,
BTCUSDT,2019-11-18 08:00:00.001,0.00010000,
BTCUSDT,2019-11-18 16:00:00.000,0.00010000,
BTCUSDT,2019-11-19 00:00:00.000,0.00010000,
BTCUSDT,2019-11-19 08:00:00.000,0.00010000,
BTCUSDT,2019-11-19 16:00:00.000,0.00010000,
BTCUSDT,2019-11-20 00:00:00.000,0.00010000,
BTCUSDT,2019-11-20 08:00:00.000,0.00010000,
BTCUSDT,2019-11-20 16:00:00.000,0.00010000,
BTCUSDT,2019-11-21 00:00:00.000,0.00010000,
BTCUSDT,2019-11-21 08:00:00.000,0.00010000,
BTCUSDT,2019-11-21 16:00:00.000,0.00010000,
BTCUSDT,2019-11-22 00:00:00.000,0.00006832,
BTCUSDT,2019-11-22 08:00:00.001,0.00009601,
