timestamp,close_settlement,close_quote
2025-06-10 07:15:00+00:00,85824.14,9384014932.59431
2025-06-10 07:20:00+00:00,85844.258,9387730613.0866
2025-06-10 07:25:00+00:00,85865.255,9394824528.10353
2025-06-10 07:30:00+00:00,85860.764,9377738402.3092
2025-06-10 07:35:00+00:00,85868.367,9371873858.92331
2025-06-10 07:40:00+00:00,85934.316,9379902622.87151
2025-06-10 07:45:00+00:00,86017.453,9388337561.1511
2025-06-10 07:50:00+00:00,86060.162,9399496078.76476
2025-06-10 07:55:00+00:00,86108.342,9401145173.7102
2025-06-10 08:00:00+00:00,86070.553,9400957703.55207
2025-06-10 08:05:00+00:00,86054.32,9409377273.736
2025-06-10 08:10:00+00:00,86108.33,9403554896.813
2025-06-10 08:15:00+00:00,86090.871,9397722523.7955
2025-06-10 08:20:00+00:00,86062.963,9400149677.0083
2025-06-10 08:25:00+00:00,86113.228,9401575282.0332
2025-06-10 08:30:00+00:00,86180.737,9405239933.6843
2025-06-10 08:35:00+00:00,86185.709,9413547879.816
2025-06-10 08:40:00+00:00,86232.949,9418190223.882
2025-06-10 08:45:00+00:00,86370.825,9428803485.99319
2025-06-10 08:50:00+00:00,86203.892,9400824915.10534
2025-06-10 08:55:00+00:00,86179.504,9397116217.44654
2025-06-10 09:00:00+00:00,86230.274,9404265059.4126
2025-06-10 09:05:00+00:00,86257.208,9409013880.1272
2025-06-10 09:10:00+00:00,86262.652,9413670687.456
2025-06-10 09:15:00+00:00,86263.309,9410800805.7151
2025-06-10 09:20:00+00:00,86315.107,9436243705.5824
2025-06-10 09:25:00+00:00,86317.047,9429654009.2868
2025-06-10 09:30:00+00:00,86322.422,9442199336.71759
2025-06-10 09:35:00+00:00,86527.937,9464417885.02901
2025-06-10 09:40:00+00:00,86517.478,9458315640.4028
2025-06-10 09:45:00+00:00,86507.655,9456543246.5479
2025-06-10 09:50:00+00:00,86471.349,9457400852.60706
2025-06-10 09:55:00+00:00,86438.283,9462887320.59847
2025-06-10 10:00:00+00:00,86405.586,9452048534.4869
2025-06-10 10:05:00+00:00,86437.192,9456983432.17741
2025-06-10 10:10:00+00:00,86440.414,9462718560.994
2025-06-10 10:15:00+00:00,86525.474,9466630974.6764
2025-06-10 10:20:00+00:00,86535.184,9464673254.2608
2025-06-10 10:25:00+00:00,86542.172,9465002079.66161
2025-06-10 10:30:00+00:00,86546.553,9461243209.9941
2025-06-10 10:35:00+00:00,86595.174,9461150780.64525
2025-06-10 10:40:00+00:00,86572.528,9456835591.47001
2025-06-10 10:45:00+00:00,86546.732,9455178542.9608
2025-06-10 10:50:00+00:00,86534.914,9455375834.0724
2025-06-10 10:55:00+00:00,86506.121,9452394082.4885
2025-06-10 11:00:00+00:00,86497.93,9449049158.88843
2025-06-10 11:05:00+00:00,86486.397,9446390225.928
2025-06-10 11:10:00+00:00,86448.497,9457456926.9503
2025-06-10 11:15:00+00:00,86403.675,9469854163.99696
2025-06-10 11:20:00+00:00,86221.035,9442617357.474
2025-06-10 11:25:00+00:00,86189.393,9453657714.3871
2025-06-10 11:30:00+00:00,86042.837,9444130623.3896
2025-06-10 11:35:00+00:00,86071.267,9450220581.6451
2025-06-10 11:40:00+00:00,85872.26,9418853388.65039
2025-06-10 11:45:00+00:00,85748.625,9394804160.99568
2025-06-10 11:50:00+00:00,85802.354,9397314056.6712
